,name
425,Заготовка для перил/полиэтилен/низкого давления/Polystone G blue UVP/синий/75х2000х12 мм без М/О
427,Лист полипропиленовый/Polystone PPs EL black /3000х1500х8 мм
429,"Худи UC Premium с начесом, унисекс, 80% хлопок/20% полиэстер, футер 3х нитка, плотность 320 г/м2, 50-52/XL, белый"
431,Лист ПК сот. 2100х12000х4мм бронзовый
433,Стенд ролл-ап Эконом 100*200 (Лоукост)
435,"Алюминиевая композитная панель Grossbond 4000x1220x3 мм, (al. 0,3 mm), Г4, цвет 9906 Искристое серебро"
437,"Таффета 55 гр/м2, 1,6*70 м. Термотрансфер. Q"
438,"Чернила в ПАКЕТАХ экосольвентные для печати PRIME/FUZE ECO NR, 1 литр, светло-пурпурная (light magenta)"
440,Лист ПК сот. 2100х6000х4мм прозрачн. Карбогласс Премиум
442,Лист ПК сот. Carboglass ПРЕМИУМ 2100х6000х6мм молочный
444,"Каландр масляный JC-26B 800*2000, 65 кВт, 2 пневмовала"
446,"Термопленка NOVA-FLEX REFLEX, 0,50*2,5 м, 6443 - розовый неон"
447,"Ткань Габардин 182 гр/кв.м, 1,6м*63,3м. Термотрансфер"
448,Philips TLD-58W/33 G13 люмин. лампа
450,"Ткань Шелк-Спандекс 94г/кв.м, 1,5*81 м. Термотрансфер"
451,"3M™ VHB™ LSE-160WF Лента монтажная двусторонняя, адгезив акриловый, основа-вспененный акрил, белый 1,6 мм х 25 мм х 33 м"
453,"Алюминиевая композитная панель Grossbond 4000x1220x3 мм, (al. 0,3 mm), Г4, цвет 8017 Коричневый"
455,"Стальная композитная панель Grossbond 4000x1220x2 мм, (st. 0,2 mm), Г4, цвет 9003 Белый"
457,"Габардин 150г/кв.м, 1,6*102м. Термотрансфер"
458,Заготовка для перил/полиэтилен/низкого давления/Polystone G blue UVP/синий/75х2675х12 мм
460,"Люверс 17мм, оцинкованный"
462,Лист ПВХ Trovidur EN 7011 2000x1000x5 мм серый
464,Лист ПВХ RS-Foam 2*1560*3050 мм белый
466,"Двусторонняя вспененная акриловая лента B30 SM Chemie™ 3*9 мм*10 м, чёрная, пластиковый лайнер"
467,"Худи UC Premium с начесом, унисекс, 80% хлопок/20% полиэстер, футер 3х нитка, плотность 320 г/м2, 60-62/4XL, черный"
469,"Ткань Хоккей 210гр/м2 74,46м*1,65м, Термотрансфер"
470,"Стальная композитная панель Grossbond 4000x1220x2 мм, (st. 0,2 mm), Г4, цвет 9005 Черный"
472,"Худи UC Premium с начесом, унисекс, 80% хлопок/20% полиэстер, футер 3х нитка, плотность 320 г/м2, 52-54/XXL, белый"
474,"Ткань Флажная сетка 115г/кв.м, 1,6*64м. Прямая печать"
475,"Стальная композитная панель Grossbond 4000x1220x2 мм, (st. 0,2 mm), Г4, цвет грунт/грунт"
477,"Худи UC Premium с начесом, унисекс, 80% хлопок/20% полиэстер, футер 3х нитка, плотность 320 г/м2, 46-48/M, черный"
479,"Баннер Vikuflex литой Frontlit 400гр, 75х3.2 полумат 1000Dx1000D, 16x16"
480,ND 99  Серебро глянц. 3.04 м.
482,"Баннер короткий Vikuflex литой Frontlit 400 г, 1,6*40 м полумат 1000D*1000D, 16*16"
483,"Бумага для скроллеров 163г/м2 (132мк). Polyman. Ширина 2,95м, намотка 150м"
484,"Баннер Vikuflex ламинированный усиленный Frontlit 440гр, 50x3.2м мат 1000Dx1000D, 9x9"
485,"Угол ПВХ, 50*50 мм, 2,7 м, белый"
487,Лист полипропиленовый VikuLen сополимер серый 3500*1500*15 мм
489,"Ткань Интерлок 160г/м2,1,65*81м, Термотрансфер"
490,"Угол ПВХ, перфорированный арочный 23*23 мм, 3 м"
492,PVC-U/EPDM кран запорный шаровой тип 107 д-63 мм DN50 /199 107 008
